,Rank,Total Return (%),Return/Drawdown,Outperformance (%),Sharpe Ratio,Win Rate (%),Profit Factor,Trades,Max Drawdown (%),Combine Method,MA Type,MA Length,Z-Score Lookback,Buy Threshold,Sell Threshold,Weights
0,1,141058.52,3018.76,118233.52,1.42,33.9,4.89,237,46.73,Weighted,WMA,52,57,0.02,-0.08,"MVRV: 0.26, NUPL: 0.74"
1,2,133763.06,2874.67,110938.05,1.44,37.6,5.03,203,46.53,Weighted,WMA,51,228,0.02,-0.05,"MVRV: 0.27, NUPL: 0.73"
2,3,128507.81,2682.22,105682.80,1.44,41.1,5.39,181,47.91,Weighted,WMA,53,153,0.09,-0.03,"MVRV: 0.58, NUPL: 0.42"
3,4,122317.82,2538.31,99492.82,1.44,40.7,5.75,183,48.19,Weighted,WMA,60,246,0.05,-0.01,"MVRV: 0.50, NUPL: 0.50"
4,5,110643.44,2143.81,87818.43,1.30,66.7,50.35,25,51.61,Weighted,WMA,285,132,0.08,-1.00,"MVRV: 0.42, NUPL: 0.58"
5,6,110591.41,2396.41,87766.40,1.40,35.5,4.74,215,46.15,Weighted,WMA,54,60,0.06,-0.05,"MVRV: 0.65, NUPL: 0.35"
6,7,109558.68,2173.49,86733.68,1.41,40.7,5.30,183,50.41,Weighted,WMA,57,230,0.06,-0.02,"MVRV: 0.37, NUPL: 0.63"
7,8,108434.18,2450.95,85609.18,1.40,38.5,4.81,209,44.24,Weighted,WMA,52,111,0.07,-0.01,"MVRV: 0.71, NUPL: 0.29"
8,9,104525.03,2135.70,81700.02,1.36,35.8,4.93,191,48.94,Weighted,WMA,54,81,0.02,-0.16,"MVRV: 0.30, NUPL: 0.70"
9,10,101573.69,2015.83,78748.69,1.39,36.6,4.81,187,50.39,Weighted,WMA,51,209,0.02,-0.09,"MVRV: 0.54, NUPL: 0.46"
